año,grupo_canonico,emision_total_ton_anio
2005,Ammonia (NH3),346.71478372900003
2005,Arsenic (As),1.95190469266704
2005,Benzene,17.020056818
2005,Carbon dioxide (CO2),7318736.536885026
2005,Carbon monoxide (CO),4470.395872108
2005,Lead (Pb),0.002542832550329
2005,Mercury (Hg),0.03139473687
2005,Nitrogen oxides (NOx),3352.912829307
2005,PCDD/F,1.66804697e-07
2005,PM10,1116.214496677
2005,PM2.5,858.062994733
2005,"Particulate matter (PM, sin tamaño)",1341.229788222
2005,Sulfur dioxide (SO2),10104.391429821
2005,Toluene,27.674560493
2005,Volatile organic compounds (VOC),289.19743172200003
2006,Ammonia (NH3),306.26045314118
2006,Arsenic (As),1.95190469266704
2006,Carbon dioxide (CO2),4829288.692801878
2006,Carbon monoxide (CO),4041.570876163
2006,Mercury (Hg),0.05174848430667
2006,Nitrogen oxides (NOx),6550.7473620850005
2006,PCDD/F,1.78106106e-07
2006,PM10,1574.604036503
2006,PM2.5,1374.384924037
2006,"Particulate matter (PM, sin tamaño)",1816.547023097
2006,Sulfur dioxide (SO2),13843.55240512
2006,Toluene,0.000334594
2006,Volatile organic compounds (VOC),396.261234246
2007,Ammonia (NH3),570.9399373515
2007,Arsenic (As),1.95190469266704
2007,Carbon dioxide (CO2),6762919.4267581
2007,Carbon monoxide (CO),4029.542062216
2007,Mercury (Hg),0.171201955441
2007,Nitrogen oxides (NOx),8755.261862065
2007,PCDD/F,1.87143561e-07
2007,PM10,1692.361499286
2007,PM2.5,1395.864273655
2007,"Particulate matter (PM, sin tamaño)",1831.437728301
2007,Sulfur dioxide (SO2),11183.721648405
2007,Volatile organic compounds (VOC),795.904992971
2008,Ammonia (NH3),576.0695724245
2008,Arsenic (As),1.95190469700904
2008,Benzene,0.002052494
2008,Carbon dioxide (CO2),6785021.4058266925
2008,Carbon monoxide (CO),4052.2494759
2008,Lead (Pb),9.748e-10
2008,Mercury (Hg),0.169500512368
2008,Nitrogen oxides (NOx),8746.828089775
2008,PCDD/F,1.88372052e-07
2008,PM10,1629.18232994
2008,PM2.5,1442.238081251
2008,"Particulate matter (PM, sin tamaño)",1856.463136911
2008,Sulfur dioxide (SO2),10808.69232291
2008,Toluene,0.0009023962
2008,Volatile organic compounds (VOC),797.383112195
2009,Ammonia (NH3),231.498396974033
2009,Arsenic (As),1.9531997240414871
2009,Benzene,10.608629816416899
2009,Carbon dioxide (CO2),8371673.675366665
2009,Carbon monoxide (CO),5172.1309383523
2009,Lead (Pb),0.015952191326881
2009,Mercury (Hg),0.072198558570067
2009,Nitrogen oxides (NOx),14906.1375403471
2009,PCDD/F,1.323305732e-05
2009,PM10,1234.86831379882
2009,PM2.5,966.17501063798
2009,"Particulate matter (PM, sin tamaño)",2262.65008817263
2009,Sulfur dioxide (SO2),5803.94133034825
2009,Toluene,9.79027999832743
2009,Volatile organic compounds (VOC),926.91429133136
2010,Ammonia (NH3),338.2693508030376
2010,Arsenic (As),1.147843774606201
2010,Benzene,7.711045680739001
2010,Carbon dioxide (CO2),9549927.51839913
2010,Carbon monoxide (CO),4986.346714443
2010,Lead (Pb),0.012077219009268
2010,Mercury (Hg),0.127460522627816
2010,Nitrogen oxides (NOx),13406.082970882
2010,PCDD/F,4.0173582565e-05
2010,PM10,1160.7921611098
2010,PM2.5,921.3115138568
2010,"Particulate matter (PM, sin tamaño)",1142.3791393308
2010,Sulfur dioxide (SO2),5186.023803027
2010,Toluene,3.57450875667
2010,Volatile organic compounds (VOC),1139.02427905
2011,Ammonia (NH3),365.21230732443803
2011,Arsenic (As),0.755957410751654
2011,Benzene,11.706053994800481
2011,Carbon dioxide (CO2),13032758.83539032
2011,Carbon monoxide (CO),7500.641902482
2011,Lead (Pb),0.003868471468837
2011,Mercury (Hg),0.17761667348388
2011,Nitrogen oxides (NOx),17195.246472384
2011,PCDD/F,1.545031513e-05
2011,PM10,1283.8985540990077
