año,Ammonia (NH3),Arsenic (As),Benzene,Black Carbon,Carbon dioxide (CO2),Carbon monoxide (CO),Lead (Pb),Mercury (Hg),Methane,Nitrogen oxides (NOx),Nitrous oxide (N2O),PCDD/F,PM10,PM2.5,"Particulate matter (PM, sin tamaño)",Sulfur dioxide (SO2),Sulfur oxides (SOx) [familia],Toluene,Volatile organic compounds (VOC)
2005,346.71478372900003,1.95190469266704,17.020056818,0.0,7318736.536885026,4470.395872108,0.002542832550329,0.03139473687,0.0,3352.912829307,0.0,1.66804697e-07,1116.214496677,858.062994733,1341.229788222,10104.391429821,0.0,27.674560493,289.19743172200003
2006,306.26045314118,1.95190469266704,0.0,0.0,4829288.692801878,4041.570876163,0.0,0.05174848430667,0.0,6550.7473620850005,0.0,1.78106106e-07,1574.604036503,1374.384924037,1816.547023097,13843.55240512,0.0,0.000334594,396.261234246
2007,570.9399373515,1.95190469266704,0.0,0.0,6762919.4267581,4029.542062216,0.0,0.171201955441,0.0,8755.261862065,0.0,1.87143561e-07,1692.361499286,1395.864273655,1831.437728301,11183.721648405,0.0,0.0,795.904992971
2008,576.0695724245,1.95190469700904,0.002052494,0.0,6785021.4058266925,4052.2494759,9.748e-10,0.169500512368,0.0,8746.828089775,0.0,1.88372052e-07,1629.18232994,1442.238081251,1856.463136911,10808.69232291,0.0,0.0009023962,797.383112195
2009,231.498396974033,1.9531997240414871,10.608629816416899,0.0,8371673.675366665,5172.1309383523,0.015952191326881,0.072198558570067,0.0,14906.1375403471,0.0,1.323305732e-05,1234.86831379882,966.17501063798,2262.65008817263,5803.94133034825,0.0,9.79027999832743,926.91429133136
2010,338.2693508030376,1.147843774606201,7.711045680739001,0.0,9549927.51839913,4986.346714443,0.012077219009268,0.127460522627816,0.0,13406.082970882,0.0,4.0173582565e-05,1160.7921611098,921.3115138568,1142.3791393308,5186.023803027,0.0,3.57450875667,1139.02427905
2011,365.21230732443803,0.755957410751654,11.706053994800481,0.0,13032758.83539032,7500.641902482,0.003868471468837,0.17761667348388,0.0,17195.246472384,0.0,1.545031513e-05,1283.8985540990077,1179.8183352927076,1382.1707174610003,6256.853650388,0.0,10.948475273170779,1169.0115601050054
2012,178.042721919412,0.260687213672716,9.1357729106,0.0,7513035.019287332,7118.65123538,0.096559178287259,0.077184229030835,0.0,16230.068622077,0.0,3.2562506711e-05,947.242968558,822.146261992,2268.9406969780002,4703.638746512,0.0,5.60524964796,1117.860126298
2013,185.502138059958,1.615498122045342,17.6723750475,0.0,4928573.39574962,7042.6223455379995,0.002105356543313,0.036614385313453,0.0,8344.116341009,0.0,0.00010131142105700001,962.84718996872,741.4654026881,1181.2095397411,3791.118761027597,0.0,5.246704928698,779.738454226
2014,12.601208781329,0.384086562180198,4.47313460548,0.0,1434305.6519128187,7688.003501644808,6.2600608888e-05,0.002161599637436,0.0,3907.87379679076,0.0,2.0479519932e-05,507.6183205615,92.358245009477,355.435537912377,603.5989564764268,0.0,6.774597402243,261.47820957960107
2015,47.606211733113916,5.008867936532399,5.2652007706423,0.0,2663134.11559376,9555.41397931626,0.000110529396537,1.369465228692848,0.0,6151.61604178002,0.0,0.000158891479162,355.59851184247,155.72084594849,834.3940561027171,1308.6065901366799,0.0,5.42248170711886,728.402529194018
2016,11.872183522176034,0.183877237187167,2.3870371373023,0.0,1453652.183416238,1524.95624916965,1.2630118337e-05,0.002559161463524,0.0,4162.50234369318,0.0,8.9696064656e-05,155.450716446417,99.58522614089699,202.462390612787,285.364344546762,0.0,3.31993131883937,277.413256480664
2017,13.9835816674,0.2145804598,7.3020499228,0.0,2418667.244347177,2605.0426525913,0.0032002482,0.0068537516,0.0,5187.4087892897,0.0,0.000104369,153.7304068006,109.666259936,199.1791489219,604.3993167927999,0.0,3.8586603356,230.5053444829
2018,68.13635091934245,0.369296501599459,4.144382658892421,0.0,2645144.3118507736,2366.113194748426,13.171992488542173,0.010611548907671,0.0,6636.7140506502055,0.0,3.8576273838e-05,788.6328381584168,123.83563345054792,527.2008225816139,6709.9599826444055,0.0,6.352519295164756,550.8784419701042
2019,55.80689379858,0.01484004050531,3.263386367261144,0.0,6287813.81498681,4623.9454693020425,0.02821751026398,0.02645012098966,0.0,15265.31670306117,0.0,0.0,355.7793176442106,352.3573452862106,344.1250414404,53.56047677411,0.0,1.495841309173513,437.7425493065034
2020,649.9560389578068,0.03510017304704941,2.280209395864564,0.0,5406466.121897821,19985.37377328769,0.7152858980475792,0.1164501063172127,0.0,23998.24723491208,0.0,4.041484294341362e-05,2745.1454047955817,1968.804001044654,9608.994327646516,2192.393022442817,0.0,1.2423508038914903,1482.633699462997
2021,29.00122486978,0.134386705194079,1.78329583000107,0.0,5387518.9209324075,3059.4201671175,28.840156033985004,0.12895754712562402,0.0,15476.016363101,0.0,3.9069459993567e-05,212.5234783202,208.0461658954,3759.1381116243,2402.6490433243935,0.0,0.76384960076994,370.029869173
2022,95.9249415673512,1.1164625196593365,2.1006047196209567,0.0,13848798.040772624,10276.321702571882,28.759195948005836,0.13138664993410495,0.0,36653.642303323606,0.0,4.206224736363025e-05,1918.141136384483,1914.9883769831688,4458.419704782514,2389.7622687035814,24104.67573472889,1.3903051535403943,589.2082940701309
2023,209.2327397810719,0.5450889333137207,1.9540236301832288,31.073834889005813,32444867.078153133,15227.003742183502,26.861363759183316,0.1276660851948501,879.4670117335145,65632.67639455812,173.09921217365158,5.004661180425916e-05,4042.8429113356437,4031.684444310908,3418.6037196622897,2258.6351417635183,14091.513709808987,1.3562129862483476,737.9425031942046
